City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,shingu,33.7333,135.9833,13.5,67,98,4.3,JP,1707795685
300,laguna,38.421,-121.4238,12.2,73,0,0.0,US,1707795670
301,ormara,25.2088,64.6357,20.24,66,100,2.09,PK,1707795686
302,newman,37.3138,-121.0208,12.13,82,80,1.34,US,1707795687
303,la plata,-34.9215,-57.9545,16.57,69,86,5.59,AR,1707795468
304,revda,56.801,59.9303,-9.4,95,100,2.93,RU,1707795436
305,yankton,42.8711,-97.3973,3.4,75,100,2.57,US,1707795689
306,ta`u,-14.2336,-169.5144,28.32,81,82,6.8,AS,1707795690
307,newport,51.5877,-2.9984,7.3,89,91,3.99,GB,1707795690
308,vyaz'ma,55.2104,34.2951,-1.91,97,100,4.18,RU,1707795691
309,san pedro pochutla,15.7333,-96.4667,23.09,80,2,1.94,MX,1707795692
310,nova sintra,14.8667,-24.7167,20.05,80,97,5.9,CV,1707795692
311,lusambo,-4.9667,23.45,21.49,97,88,0.39,CD,1707795694
312,hurricane,37.1753,-113.2899,6.44,73,0,2.47,US,1707795593
313,kailua-kona,19.6406,-155.9956,26.98,60,20,5.14,US,1707795696
314,farafangana,-22.8167,47.8333,25.02,86,100,0.59,MG,1707795696
315,kavaratti,10.5669,72.642,27.93,66,23,3.73,IN,1707795697
316,lerwick,60.1545,-1.1494,4.0,97,98,4.93,GB,1707795697
317,payyannur,12.1,75.2,25.68,59,2,2.26,IN,1707795698
318,guerrero negro,27.9769,-114.0611,15.69,54,0,6.25,MX,1707795476
319,lorengau,-2.0226,147.2712,28.62,77,80,3.69,PG,1707795699
320,kisangani,0.5167,25.2,22.51,82,54,0.56,CD,1707795700
321,mount pearl,47.5166,-52.7813,0.53,94,100,5.14,CA,1707795625
322,voinjama,8.4219,-9.7478,20.37,91,82,0.22,LR,1707795701
323,yendi,9.4427,-0.0099,26.97,16,44,2.01,GH,1707795701
324,passa quatro,-22.3903,-44.9667,17.91,93,94,1.03,BR,1707795702
325,yuzhno-kurilsk,44.0306,145.8556,3.54,70,16,2.81,RU,1707795703
326,nangavalli,11.75,77.8833,23.68,62,96,1.68,IN,1707795703
327,celica,-4.1167,-79.95,17.01,94,100,0.45,EC,1707795704
328,starkville,33.4504,-88.8184,6.81,87,100,3.6,US,1707795704
329,grand forks,47.9417,-97.4337,-1.15,84,100,1.54,US,1707795705
330,pangoa,-12.1167,-73.0,20.09,99,60,1.01,PE,1707795706
331,artesia,33.8658,-118.0831,15.32,72,0,4.63,US,1707795706
332,taber,49.8167,-112.1518,-1.89,67,100,3.6,CA,1707795707
333,borgo,46.0514,11.4544,7.36,80,99,1.74,IT,1707795708
334,fort st. john,56.2499,-120.8529,-2.06,40,20,3.09,CA,1707795708
335,monaragala,6.8714,81.3487,27.2,75,66,4.17,LK,1707795709
336,popondetta,-8.7537,148.2534,31.45,64,83,2.75,PG,1707795710
337,paita,-5.0892,-81.1144,26.29,73,81,5.05,PE,1707795710
338,kudahuvadhoo,2.6708,72.8944,27.88,80,95,7.17,MV,1707795656
339,mana,5.6592,-53.7767,25.03,89,100,3.75,GF,1707795711
340,peniche,39.3558,-9.3811,17.38,97,100,4.94,PT,1707795486
341,lijiang,26.8688,100.2207,11.6,30,0,1.37,CN,1707795713
342,kijang,35.2442,129.2139,13.85,63,37,8.22,KR,1707795714
343,middlebury (village),44.0153,-73.1673,0.68,84,100,0.0,US,1707795714
344,mahilyow,53.9139,30.3364,1.09,100,100,3.57,BY,1707795715
345,kalmunai,7.4167,81.8167,27.52,79,49,5.39,LK,1707795650
346,margate,51.3813,1.3862,5.94,85,82,1.79,GB,1707795563
347,port alfred,-33.5906,26.891,17.88,96,1,2.6,ZA,1707795717
348,guatrache,-37.6678,-63.5302,13.97,57,0,2.98,AR,1707795718
349,selfoss,63.9331,-20.9971,-0.53,84,24,3.88,IS,1707795718
350,lichuan,30.3,108.85,13.86,59,53,1.46,CN,1707795719
351,xinyuan,37.3,99.0,-3.12,17,7,2.47,CN,1707795719
352,anzio,41.4853,12.6179,10.25,73,100,5.5,IT,1707795720
353,tianpeng,30.9866,103.9393,13.26,43,0,1.67,CN,1707795720
354,idlib,35.9306,36.6339,10.71,78,100,2.79,SY,1707795721
355,kozle,50.3356,18.1433,5.27,87,89,4.07,PL,1707795721
356,guaruja,-23.9931,-46.2564,28.83,26,82,3.5,BR,1707795723
357,piti village,13.4626,144.6933,30.49,65,40,9.77,GU,1707795723
358,kanniyakumari,8.0833,77.5667,30.13,51,92,4.95,IN,1707795724
359,sittwe,20.15,92.9,25.81,37,96,3.13,MM,1707795724
360,dubois,38.3464,-86.8897,6.9,65,100,6.17,US,1707795725
361,szolnok,47.1833,20.2,8.01,89,100,3.6,HU,1707795725
362,ulsteinvik,62.3432,5.8487,4.5,66,100,4.47,NO,1707795726
363,bac lieu,9.285,105.7244,32.41,40,29,4.69,VN,1707795727
364,tazacorte,28.629,-17.9293,19.54,92,100,4.12,ES,1707795727
365,haiku-pauwela,20.9219,-156.3051,26.01,69,20,4.63,US,1707795728
366,grand falls-windsor,48.9332,-55.6649,-3.85,93,100,2.85,CA,1707795445
367,wuxi,31.5689,120.2886,13.63,60,86,5.34,CN,1707795729
368,george town,5.4112,100.3354,32.75,57,20,2.57,MY,1707795554
369,xai-xai,-25.0519,33.6442,20.5,80,6,1.2,MZ,1707795730
370,fortaleza,-3.7227,-38.5247,29.01,83,40,3.6,BR,1707795731
371,kyshtovka,56.555,76.6271,-19.84,97,94,2.22,RU,1707795731
372,dobrinka,52.1653,40.4731,-0.1,100,100,2.9,RU,1707795732
373,balabac,7.9868,117.0645,27.76,77,40,9.77,PH,1707795733
374,quang ngai,15.1167,108.8,25.28,68,19,2.28,VN,1707795735
375,karratha,-20.7377,116.8463,26.78,84,1,4.76,AU,1707795737
376,aromashevo,56.8602,68.6375,-13.85,92,100,4.16,RU,1707795738
377,amga,60.8953,131.9608,-25.28,87,98,3.0,RU,1707795739
378,lucea,18.451,-78.1736,25.92,80,1,0.43,JM,1707795691
379,yelizovo,53.1873,158.3805,-7.92,37,20,1.0,RU,1707795740
380,shakawe,-18.3667,21.85,20.19,72,10,2.08,BW,1707795741
381,salima,-13.7804,34.4587,20.42,94,94,1.79,MW,1707795743
382,baiyin,36.5583,104.2081,6.51,22,56,2.11,CN,1707795744
